"county","tract","bg","cntyname","LandSQMI","afact"
"County code","Tract","Block group","County name","Land area (sq. mi.)","_us_ to bg allocation factor"
"53007","9610.00","4","Chelan WA",0.0827,0 
"53007","9610.00","5","Chelan WA",0.1921,0 
"53007","9610.00","6","Chelan WA",0.162,0 
"53007","9610.00","7","Chelan WA",0.1658,0 
"53007","9611.00","1","Chelan WA",0.1885,0 
"53007","9611.00","2","Chelan WA",0.1946,0 
"53007","9611.00","3","Chelan WA",1.1919,0 
"53007","9611.00","4","Chelan WA",0.6682,0 
"53007","9611.00","5","Chelan WA",0.2666,0 
"53007","9611.00","6","Chelan WA",0.13,0 
"53007","9612.00","1","Chelan WA",117.3893,0.0018 
"53007","9612.00","2","Chelan WA",4.4794,0.0001 
"53007","9613.01","1","Chelan WA",6.453,0.0001 
"53007","9613.02","1","Chelan WA",0.3389,0 
"53007","9613.02","2","Chelan WA",0.1992,0 
"53007","9613.02","3","Chelan WA",0.2433,0 
"53007","9613.02","4","Chelan WA",9.3122,0.0001 
"53007","9613.02","5","Chelan WA",0.2496,0 
"53007","9613.02","6","Chelan WA",0.1965,0 
"53009","0002.00","1","Clallam WA",354.6324,0.0053 
"53009","0002.00","2","Clallam WA",3.9757,0.0001 
"53009","0003.00","1","Clallam WA",2.2255,0 
"53009","0003.00","2","Clallam WA",11.8142,0.0002 
"53009","0003.00","3","Clallam WA",7.4911,0.0001 
"53009","0003.00","4","Clallam WA",1.4031,0 
"53009","0004.00","1","Clallam WA",284.1835,0.0043 
"53009","0004.00","2","Clallam WA",125.2725,0.0019 
"53009","0006.00","1","Clallam WA",48.7494,0.0007 
"53009","0006.00","2","Clallam WA",335.1685,0.005 
"53009","0006.00","3","Clallam WA",27.7753,0.0004 
"53009","0007.00","1","Clallam WA",0.8696,0 
"53009","0007.00","2","Clallam WA",3.8872,0.0001 
"53009","0008.00","1","Clallam WA",0.2786,0 
"53009","0008.00","2","Clallam WA",0.5634,0 
"53009","0008.00","3","Clallam WA",0.371,0 
"53009","0009.00","1","Clallam WA",0.2698,0 
"53009","0009.00","2","Clallam WA",0.4152,0 
"53009","0009.00","3","Clallam WA",0.2118,0 
"53009","0010.00","1","Clallam WA",0.3497,0 
"53009","0010.00","2","Clallam WA",0.3371,0 
"53009","0011.00","1","Clallam WA",0.342,0 
"53009","0011.00","2","Clallam WA",0.1492,0 
"53009","0011.00","3","Clallam WA",3.7823,0.0001 
"53009","0012.00","1","Clallam WA",0.6043,0 
"53009","0012.00","2","Clallam WA",0.8839,0 
