GEOID,spatialmismatch,total,english_only,english_verywell,english_well,english_notwell,english_notatall,english_better,english_worse
530330206004,0.02495911344885826,647,0.7094281298299846,0.10819165378670788,0.061823802163833076,0.1205564142194745,0,0.8794435857805255,0.1205564142194745
530330250014,0.02935348264873027,1178,0.8047538200339559,0.1502546689303905,0.03904923599320883,0.005942275042444821,0,0.9940577249575552,0.005942275042444821
530330017021,0.08163180947303772,1976,0.7955465587044535,0.13157894736842105,0.0728744939271255,0,0,1,0
530330320031,0.10830441862344742,1419,0.9386892177589852,0.04792107117688513,0,0.013389711064129669,0,0.9866102889358703,0.013389711064129669
530330302021,0.07355883717536926,760,0.8144736842105263,0.16052631578947368,0,0.025,0,0.975,0.025
530330049004,0.04943186417222023,1232,0.8790584415584416,0.10470779220779221,0.016233766233766232,0,0,1,0
530330050003,0.03160328045487404,1856,0.8108836206896551,0.14493534482758622,0.016163793103448277,0.028017241379310345,0,0.9719827586206896,0.028017241379310345
530330050002,0.02518671378493309,992,0.9546370967741935,0.04536290322580645,0,0,0,1,0
530330115002,0.09613742679357529,1384,0.9472543352601156,0.03540462427745665,0,0.017341040462427744,0,0.9826589595375722,0.017341040462427744
530330316033,0.06643376499414444,1033,0.9506292352371732,0.02420135527589545,0.02516940948693127,0,0,1,0
530330219043,0.06178656965494156,1044,0.8074712643678161,0.11302681992337164,0.0421455938697318,0.03735632183908046,0,0.9626436781609196,0.03735632183908046
530330249022,0.05770843848586082,1579,0.6364787840405319,0.2830905636478784,0.06396453451551615,0.016466117796073463,0,0.9835338822039266,0.016466117796073463
530330049001,0.03061697259545326,1403,0.8139700641482538,0.15965787598004277,0.023521026372059873,0.002851033499643621,0,0.9971489665003563,0.002851033499643621
530330313024,0.08330260962247849,994,0.7484909456740443,0.08048289738430583,0.08450704225352113,0.08651911468812877,0,0.9134808853118712,0.08651911468812877
530330102003,0.05643310397863388,1223,0.6009811937857726,0.22158626328699918,0.06459525756336877,0.11283728536385937,0,0.8871627146361406,0.11283728536385937
530330100022,0.03717107698321342,1591,0.48774355751099935,0.17850408548082966,0.09239472030169704,0.21495914519170334,0.026398491514770583,0.7586423632935261,0.24135763670647392
530330051001,0.02781403250992298,1284,0.7967289719626168,0.17445482866043613,0.012461059190031152,0.016355140186915886,0,0.9836448598130841,0.016355140186915886
530330250011,0.03926832973957062,953,0.6180482686253935,0.1993704092339979,0.16054564533053514,0.012591815320041973,0.00944386149003148,0.9779643231899265,0.022035676810073453
530330312044,0.0588548369705677,876,0.9680365296803652,0.012557077625570776,0.019406392694063926,0,0,1,0
530330220063,0.06378421932458878,1207,0.6992543496271748,0.13587406793703397,0.08285004142502071,0.058823529411764705,0.0231980115990058,0.9179784589892295,0.0820215410107705
530330064003,0.02659252472221851,1221,0.9197379197379197,0.07043407043407043,0.009828009828009828,0,0,1,0
530330079003,0.04338471964001655,806,0.967741935483871,0.02109181141439206,0,0.0024813895781637717,0.008684863523573201,0.988833746898263,0.011166253101736972
530330017022,0.05278077349066734,1113,0.7035040431266847,0.20844564240790656,0.06289308176100629,0.025157232704402517,0,0.9748427672955975,0.025157232704402517
530330026003,0.03440135344862938,1493,0.9437374413931681,0.03549899531145345,0.020763563295378432,0,0,1,0
530330044004,0.09151387959718704,2143,0.650489967335511,0.2851143257116192,0.05272981801213252,0.006066262249183388,0.0055996266915538965,0.9883341110592627,0.011665888940737284
530330051002,0.02817100659012794,1156,0.9463667820069204,0.04671280276816609,0,0.006920415224913495,0,0.9930795847750865,0.006920415224913495
530330203003,0.04826200753450394,889,0.6692913385826772,0.33070866141732286,0,0,0,1,0
530330236033,0.04759487882256508,1272,0.5440251572327044,0.28537735849056606,0.11477987421383648,0.018081761006289308,0.03773584905660377,0.9441823899371069,0.05581761006289308
530330111014,0.092147558927536,1288,0.3245341614906832,0.3416149068322981,0.10714285714285714,0.21583850931677018,0.010869565217391304,0.7732919254658385,0.2267080745341615
530330098002,0.0671863853931427,1216,0.9325657894736842,0.055098684210526314,0.012335526315789474,0,0,1,0
530330017013,0.06647539883852005,868,0.8629032258064516,0.13709677419354838,0,0,0,1,0
530330321021,0.06556200981140137,1052,0.9401140684410646,0.049429657794676805,0.010456273764258554,0,0,1,0
530330074022,0.07784146815538406,1741,0.8960367604824814,0.09190120620333142,0.012062033314187249,0,0,1,0
530330314002,0.09684036672115326,1312,0.9702743902439024,0.02972560975609756,0,0,0,1,0
530330036002,0.0329018235206604,2011,0.7319741422178021,0.24465440079562406,0.023371456986573842,0,0,1,0
530330036003,0.04573430493474006,1332,0.7845345345345346,0.15315315315315314,0,0.06231231231231231,0,0.9376876876876877,0.06231231231231231
530330324014,0.06873777508735657,872,0.8061926605504587,0.1938073394495413,0,0,0,1,0
530330036001,0.02894175052642822,1620,0.7820987654320988,0.16913580246913582,0.014814814814814815,0.033950617283950615,0,0.9660493827160493,0.033950617283950615
530330319041,0.11525150388479231,1568,0.9623724489795918,0.029974489795918366,0,0.007653061224489796,0,0.9923469387755102,0.007653061224489796
530330042001,0.07013910263776779,1641,0.8939670932358318,0.10603290676416818,0,0,0,1,0
530330302024,0.1332458257675171,2068,0.5691489361702128,0.23210831721470018,0.05754352030947776,0.14119922630560927,0,0.8588007736943907,0.14119922630560927
530330275001,0.08855418115854263,1549,0.5506778566817302,0.19690122659780504,0.11814073595868302,0.1065203357004519,0.02775984506132989,0.8657198192382182,0.1342801807617818
530330051003,0.02362269349396228,1043,0.87823585810163,0.11025886864813039,0.011505273250239693,0,0,1,0
530330096004,0.0618569478392601,1278,0.9131455399061033,0.07120500782472614,0.01564945226917058,0,0,1,0
530330321023,0.06641243398189545,1523,0.9061063690085358,0.02495075508864084,0.05975049244911359,0.007879185817465528,0.0013131976362442547,0.9908076165462902,0.009192383453709783
530330084002,0.06952004879713058,2041,0.801077902988731,0.102890739833415,0.053405193532582065,0.034296913277805,0.008329250367466928,0.9573738363547281,0.04262616364527193
530330210003,0.04814405739307403,1152,0.7213541666666666,0.1675347222222222,0.06336805555555555,0.04774305555555555,0,0.9522569444444444,0.04774305555555555
530330070004,0.03618486598134041,1192,0.9605704697986577,0.03942953020134228,0,0,0,1,0
530330111023,0.04670813307166099,1090,0.4798165137614679,0.2467889908256881,0.0963302752293578,0.15412844036697249,0.022935779816513763,0.8229357798165138,0.17706422018348625
530330268014,0.12503518164157867,1462,0.6949384404924761,0.1573187414500684,0.1265389876880985,0.006155950752393981,0.015047879616963064,0.978796169630643,0.021203830369357045
530330279002,0.1038779243826866,1611,0.7653631284916201,0.08317815021725636,0.013656114214773432,0.09497206703910614,0.04283054003724395,0.8621973929236499,0.1378026070763501
530330020003,0.01584052480757236,931,0.9237379162191193,0.05263157894736842,0.023630504833512353,0,0,1,0
530330103002,0.08543899655342102,1223,0.8430089942763695,0.0964840556009812,0.04333605887162715,0,0.017170891251022075,0.9828291087489779,0.017170891251022075
530330211001,0.07150201499462128,1436,0.8969359331476323,0.057799442896935935,0.04526462395543175,0,0,1,0
530330079002,0.05514278635382652,984,0.7774390243902439,0.07621951219512195,0.08333333333333333,0.03556910569105691,0.027439024390243903,0.9369918699186992,0.06300813008130081
530330028004,0.03865949437022209,1261,0.9048374306106265,0.05075337034099921,0.02775574940523394,0.016653449643140365,0,0.9833465503568596,0.016653449643140365
530330303121,0.1057666540145874,1189,0.6425567703952901,0.2253994953742641,0.05971404541631623,0.01682085786375105,0.05550883095037847,0.9276703111858705,0.07232968881412952
530330283003,0.08748793601989746,2465,0.6296146044624746,0.25841784989858013,0.05922920892494929,0.03529411764705882,0.01744421906693712,0.947261663286004,0.05273833671399594
530330220031,0.04814093932509422,947,0.7866948257655755,0.1890179514255544,0.024287222808870117,0,0,1,0
530330220013,0.03874092921614647,1586,0.7061790668348046,0.2459016393442623,0.04791929382093316,0,0,1,0
